movie_id,title,budget,revenue,popularity,vote_average,vote_count,runtime,release_date,release_year,director,original_language,is_financial_valid
19995,Avatar,237000000,2787965087,150.437577,7.2,11800,162.0,2009-12-10,2009.0,James Cameron,en,1
285,Pirates of the Caribbean: At World's End,300000000,961000000,139.082615,6.9,4500,169.0,2007-05-19,2007.0,Gore Verbinski,en,1
206647,Spectre,245000000,880674609,107.376788,6.3,4466,148.0,2015-10-26,2015.0,Sam Mendes,en,1
49026,The Dark Knight Rises,250000000,1084939099,112.31295,7.6,9106,165.0,2012-07-16,2012.0,Christopher Nolan,en,1
49529,John Carter,260000000,284139100,43.926995,6.1,2124,132.0,2012-03-07,2012.0,Andrew Stanton,en,1
559,Spider-Man 3,258000000,890871626,115.699814,5.9,3576,139.0,2007-05-01,2007.0,Sam Raimi,en,1
38757,Tangled,260000000,591794936,48.681969,7.4,3330,100.0,2010-11-24,2010.0,Byron Howard,en,1
99861,Avengers: Age of Ultron,280000000,1405403694,134.279229,7.3,6767,141.0,2015-04-22,2015.0,Joss Whedon,en,1
767,Harry Potter and the Half-Blood Prince,250000000,933959197,98.885637,7.4,5293,153.0,2009-07-07,2009.0,David Yates,en,1
209112,Batman v Superman: Dawn of Justice,250000000,873260194,155.790452,5.7,7004,151.0,2016-03-23,2016.0,Zack Snyder,en,1
1452,Superman Returns,270000000,391081192,57.925623,5.4,1400,154.0,2006-06-28,2006.0,Bryan Singer,en,1
10764,Quantum of Solace,200000000,586090727,107.928811,6.1,2965,106.0,2008-10-30,2008.0,Marc Forster,en,1
58,Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,145.847379,7.0,5246,151.0,2006-06-20,2006.0,Gore Verbinski,en,1
57201,The Lone Ranger,255000000,89289910,49.046956,5.9,2311,149.0,2013-07-03,2013.0,Gore Verbinski,en,1
49521,Man of Steel,225000000,662845518,99.398009,6.5,6359,143.0,2013-06-12,2013.0,Zack Snyder,en,1
2454,The Chronicles of Narnia: Prince Caspian,225000000,419651413,53.978602,6.3,1630,150.0,2008-05-15,2008.0,Andrew Adamson,en,1
24428,The Avengers,220000000,1519557910,144.448633,7.4,11776,143.0,2012-04-25,2012.0,Joss Whedon,en,1
1865,Pirates of the Caribbean: On Stranger Tides,380000000,1045713802,135.413856,6.4,4948,136.0,2011-05-14,2011.0,Rob Marshall,en,1
41154,Men in Black 3,225000000,624026776,52.035179,6.2,4160,106.0,2012-05-23,2012.0,Barry Sonnenfeld,en,1
122917,The Hobbit: The Battle of the Five Armies,250000000,956019788,120.965743,7.1,4760,144.0,2014-12-10,2014.0,Peter Jackson,en,1
1930,The Amazing Spider-Man,215000000,752215857,89.866276,6.5,6586,136.0,2012-06-27,2012.0,Marc Webb,en,1
20662,Robin Hood,200000000,310669540,37.668301,6.2,1398,140.0,2010-05-12,2010.0,Ridley Scott,en,1
57158,The Hobbit: The Desolation of Smaug,250000000,958400000,94.370564,7.6,4524,161.0,2013-12-11,2013.0,Peter Jackson,en,1
2268,The Golden Compass,180000000,372234864,42.990906,5.8,1303,113.0,2007-12-04,2007.0,Chris Weitz,en,1
254,King Kong,207000000,550000000,61.22601,6.6,2337,187.0,2005-12-14,2005.0,Peter Jackson,en,1
597,Titanic,200000000,1845034188,100.025899,7.5,7562,194.0,1997-11-18,1997.0,James Cameron,en,1
271110,Captain America: Civil War,250000000,1153304495,198.372395,7.1,7241,147.0,2016-04-27,2016.0,Anthony Russo,en,1
44833,Battleship,209000000,303025485,64.928382,5.5,2114,131.0,2012-04-11,2012.0,Peter Berg,en,1
135397,Jurassic World,150000000,1513528810,418.708552,6.5,8662,124.0,2015-06-09,2015.0,Colin Trevorrow,en,1
37724,Skyfall,200000000,1108561013,93.004993,6.9,7604,143.0,2012-10-25,2012.0,Sam Mendes,en,1
558,Spider-Man 2,200000000,783766341,35.149586,6.7,4321,127.0,2004-06-25,2004.0,Sam Raimi,en,1
68721,Iron Man 3,200000000,1215439994,77.68208,6.8,8806,130.0,2013-04-18,2013.0,Shane Black,en,1
12155,Alice in Wonderland,200000000,1025491110,78.530105,6.4,4645,108.0,2010-03-03,2010.0,Tim Burton,en,1
