movie_id,title,genre
19995,Avatar,Action
19995,Avatar,Adventure
19995,Avatar,Fantasy
19995,Avatar,Science Fiction
285,Pirates of the Caribbean: At World's End,Adventure
285,Pirates of the Caribbean: At World's End,Fantasy
285,Pirates of the Caribbean: At World's End,Action
206647,Spectre,Action
206647,Spectre,Adventure
206647,Spectre,Crime
49026,The Dark Knight Rises,Action
49026,The Dark Knight Rises,Crime
49026,The Dark Knight Rises,Drama
49026,The Dark Knight Rises,Thriller
49529,John Carter,Action
49529,John Carter,Adventure
49529,John Carter,Science Fiction
559,Spider-Man 3,Fantasy
559,Spider-Man 3,Action
559,Spider-Man 3,Adventure
38757,Tangled,Animation
38757,Tangled,Family
99861,Avengers: Age of Ultron,Action
99861,Avengers: Age of Ultron,Adventure
99861,Avengers: Age of Ultron,Science Fiction
767,Harry Potter and the Half-Blood Prince,Adventure
767,Harry Potter and the Half-Blood Prince,Fantasy
767,Harry Potter and the Half-Blood Prince,Family
209112,Batman v Superman: Dawn of Justice,Action
209112,Batman v Superman: Dawn of Justice,Adventure
209112,Batman v Superman: Dawn of Justice,Fantasy
1452,Superman Returns,Adventure
1452,Superman Returns,Fantasy
1452,Superman Returns,Action
1452,Superman Returns,Science Fiction
10764,Quantum of Solace,Adventure
10764,Quantum of Solace,Action
10764,Quantum of Solace,Thriller
10764,Quantum of Solace,Crime
58,Pirates of the Caribbean: Dead Man's Chest,Adventure
58,Pirates of the Caribbean: Dead Man's Chest,Fantasy
58,Pirates of the Caribbean: Dead Man's Chest,Action
57201,The Lone Ranger,Action
57201,The Lone Ranger,Adventure
57201,The Lone Ranger,Western
49521,Man of Steel,Action
49521,Man of Steel,Adventure
49521,Man of Steel,Fantasy
49521,Man of Steel,Science Fiction
2454,The Chronicles of Narnia: Prince Caspian,Adventure
2454,The Chronicles of Narnia: Prince Caspian,Family
2454,The Chronicles of Narnia: Prince Caspian,Fantasy
24428,The Avengers,Science Fiction
24428,The Avengers,Action
24428,The Avengers,Adventure
1865,Pirates of the Caribbean: On Stranger Tides,Adventure
1865,Pirates of the Caribbean: On Stranger Tides,Action
1865,Pirates of the Caribbean: On Stranger Tides,Fantasy
41154,Men in Black 3,Action
41154,Men in Black 3,Comedy
41154,Men in Black 3,Science Fiction
122917,The Hobbit: The Battle of the Five Armies,Action
122917,The Hobbit: The Battle of the Five Armies,Adventure
122917,The Hobbit: The Battle of the Five Armies,Fantasy
1930,The Amazing Spider-Man,Action
1930,The Amazing Spider-Man,Adventure
1930,The Amazing Spider-Man,Fantasy
20662,Robin Hood,Action
20662,Robin Hood,Adventure
57158,The Hobbit: The Desolation of Smaug,Adventure
57158,The Hobbit: The Desolation of Smaug,Fantasy
2268,The Golden Compass,Adventure
2268,The Golden Compass,Fantasy
254,King Kong,Adventure
254,King Kong,Drama
254,King Kong,Action
597,Titanic,Drama
597,Titanic,Romance
597,Titanic,Thriller
271110,Captain America: Civil War,Adventure
271110,Captain America: Civil War,Action
271110,Captain America: Civil War,Science Fiction
44833,Battleship,Thriller
44833,Battleship,Action
44833,Battleship,Adventure
44833,Battleship,Science Fiction
135397,Jurassic World,Action
135397,Jurassic World,Adventure
135397,Jurassic World,Science Fiction
135397,Jurassic World,Thriller
37724,Skyfall,Action
37724,Skyfall,Adventure
37724,Skyfall,Thriller
558,Spider-Man 2,Action
558,Spider-Man 2,Adventure
558,Spider-Man 2,Fantasy
68721,Iron Man 3,Action
68721,Iron Man 3,Adventure
68721,Iron Man 3,Science Fiction
12155,Alice in Wonderland,Family
12155,Alice in Wonderland,Fantasy
12155,Alice in Wonderland,Adventure
36668,X-Men: The Last Stand,Adventure
36668,X-Men: The Last Stand,Action
36668,X-Men: The Last Stand,Science Fiction
36668,X-Men: The Last Stand,Thriller
62211,Monsters University,Animation
62211,Monsters University,Family
8373,Transformers: Revenge of the Fallen,Science Fiction
8373,Transformers: Revenge of the Fallen,Action
8373,Transformers: Revenge of the Fallen,Adventure
91314,Transformers: Age of Extinction,Science Fiction
91314,Transformers: Age of Extinction,Action
91314,Transformers: Age of Extinction,Adventure
68728,Oz: The Great and Powerful,Fantasy
68728,Oz: The Great and Powerful,Adventure
68728,Oz: The Great and Powerful,Family
102382,The Amazing Spider-Man 2,Action
102382,The Amazing Spider-Man 2,Adventure
102382,The Amazing Spider-Man 2,Fantasy
20526,TRON: Legacy,Adventure
20526,TRON: Legacy,Action
20526,TRON: Legacy,Science Fiction
49013,Cars 2,Animation
49013,Cars 2,Family
49013,Cars 2,Adventure
49013,Cars 2,Comedy
44912,Green Lantern,Adventure
44912,Green Lantern,Action
44912,Green Lantern,Thriller
44912,Green Lantern,Science Fiction
10193,Toy Story 3,Animation
10193,Toy Story 3,Family
10193,Toy Story 3,Comedy
534,Terminator Salvation,Action
534,Terminator Salvation,Science Fiction
534,Terminator Salvation,Thriller
168259,Furious 7,Action
72190,World War Z,Action
72190,World War Z,Drama
72190,World War Z,Horror
72190,World War Z,Science Fiction
72190,World War Z,Thriller
127585,X-Men: Days of Future Past,Action
127585,X-Men: Days of Future Past,Adventure
127585,X-Men: Days of Future Past,Fantasy
127585,X-Men: Days of Future Past,Science Fiction
54138,Star Trek Into Darkness,Action
54138,Star Trek Into Darkness,Adventure
54138,Star Trek Into Darkness,Science Fiction
81005,Jack the Giant Slayer,Action
81005,Jack the Giant Slayer,Family
81005,Jack the Giant Slayer,Fantasy
64682,The Great Gatsby,Drama
64682,The Great Gatsby,Romance
9543,Prince of Persia: The Sands of Time,Adventure
9543,Prince of Persia: The Sands of Time,Fantasy
9543,Prince of Persia: The Sands of Time,Action
9543,Prince of Persia: The Sands of Time,Romance
68726,Pacific Rim,Action
68726,Pacific Rim,Science Fiction
68726,Pacific Rim,Adventure
38356,Transformers: Dark of the Moon,Action
38356,Transformers: Dark of the Moon,Science Fiction
38356,Transformers: Dark of the Moon,Adventure
217,Indiana Jones and the Kingdom of the Crystal Skull,Adventure
217,Indiana Jones and the Kingdom of the Crystal Skull,Action
105864,The Good Dinosaur,Adventure
105864,The Good Dinosaur,Animation
105864,The Good Dinosaur,Family
62177,Brave,Animation
62177,Brave,Adventure
62177,Brave,Comedy
62177,Brave,Family
62177,Brave,Action
62177,Brave,Fantasy
188927,Star Trek Beyond,Action
188927,Star Trek Beyond,Adventure
188927,Star Trek Beyond,Science Fiction
10681,WALL·E,Animation
10681,WALL·E,Family
5174,Rush Hour 3,Action
5174,Rush Hour 3,Comedy
5174,Rush Hour 3,Crime
5174,Rush Hour 3,Thriller
14161,2012,Action
14161,2012,Adventure
14161,2012,Science Fiction
17979,A Christmas Carol,Animation
17979,A Christmas Carol,Drama
76757,Jupiter Ascending,Science Fiction
76757,Jupiter Ascending,Fantasy
76757,Jupiter Ascending,Action
76757,Jupiter Ascending,Adventure
258489,The Legend of Tarzan,Action
258489,The Legend of Tarzan,Adventure
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Family
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Fantasy
246655,X-Men: Apocalypse,Science Fiction
155,The Dark Knight,Drama
155,The Dark Knight,Action
155,The Dark Knight,Crime
155,The Dark Knight,Thriller
14160,Up,Animation
14160,Up,Comedy
14160,Up,Family
14160,Up,Adventure
15512,Monsters vs Aliens,Animation
15512,Monsters vs Aliens,Family
15512,Monsters vs Aliens,Adventure
15512,Monsters vs Aliens,Science Fiction
1726,Iron Man,Action
1726,Iron Man,Science Fiction
1726,Iron Man,Adventure
44826,Hugo,Adventure
